Column1,Column2
IDText,text
TXT0001,"lu mau org2 pro-demokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo?- pilih amin, tpi jangan pilih pks, pilih partai buruh- jangan pilih prabowo dan semua partai pengusungnya- pilih gama, tpi jangan pilih pdip, pilih partai buruh [re debordsbitch]"
TXT0002,prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter 1997 saat orde baru.dibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya. (btw bajunya ganjar matching dengan tema debat)anies menegaskan normal hutang luar negeri yg aman tak lebih dari 30% gdp. hutang dipakai menhan membeli alutsista bekas adalah suatu kesia-siaan.prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar. [re mazzini_gsp]
TXT0003,kiki_daliyo  ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua #ganjarmerawatpancasila #mahfud hebat #mahfudlebihbaik3 #ganjarmahfud2024 #3mandatganjarmahfud #l3bihbaik happy new year
TXT0004,'@kumparan prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat
TXT0005,"'@sniperruben45 @uda_zulhendra @ainunnajib lah justru yg gak nyambung junjungan elu aomkmkmkmkngomongin etika tapi ngatain pak anies omon omon sambil nyenyek tuh gimana? ãƒâ°ã‚å¸ã‚â¤ã‚â£ pak anies masih sopan lho, gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang 50% atau nyuruh belajar ekonomi lagi."
TXT0006,"nelayan tak bisa terus terjebak dalam kredit macet. oleh karena itu, ganjar pranowo, mahfud md, bersama kita buka pintu kebebasan! #nelayankebebasan #ganjarpranowopilihanumat #ganjarmahfudrebound #jnk https://t.co/0b2yvv4iul"
TXT0007,prabowo anti kebebasan pershttps://t.co/7snrs5rs4z
TXT0008,"kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua. yuk, bersama jaga kedaulatan pangan!#jnk #ganjarmahfudrebound #ganjarpranowopilihanumat https://t.co/spfc60u1eg"
TXT0009,ãƒâ°ã‚å¸ã‚âã‚â½  ganjar mahfud hebat #coblos3 #3gm #ganjarmahfud2024 pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat #3gm #coblos3 https://t.co/srocbseg8w
TXT0010,ganjar-mahfud adalah harapan baru untuk pertumbuhan ekonomi kita. @almonded3 happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/xrkpihj5yc
TXT0011,'@alextham878 #diplomasi ganjar 3kali lipat anis saat anis tanya nilai wo!! dipancing anis keluarin blunder angka 11(itu penghinaan) beda dan wajar dgan angka 5!!
TXT0012,malu-maluin. dari gemoy ke minyak gorengãƒâ¢ã‚â‚¬ã‚â¦ apakah tidak ada cara kampanye yang lebih terhormat u/ masyarakat dan demokrasi? kenapa masyarakat dan demokrasi diukur-ukur dg sembako dan rupiah? contoh lah desak aniesãƒâ¢ã‚â‚¬ã‚â¦ terhormat! https://t.co/sravgtkybi [re shamsiali2]
TXT0013,"saking pen junjungan mrk @prabowo brkuasa ap sj dlanggar, @bawaslu_ri dan @kpu_id sj mlempem letoy hdapi planggaran mrk yg tak bretika !!! ãƒâ°ã‚å¸ã‚ëœã‚âãƒâ°ã‚å¸ã‚ëœã‚âãƒâ°ã‚å¸ã‚ëœã‚â¤#aminajadulu #aniesmuhaimin2024 https://t.co/revmmrvocc [re kurusetra91]"
TXT0014,"manifesto gerakan rakyat untuk perubahan, lintas profesi di pantura jawa tengah kompak dukung anies-muhaimin (amin) https://t.co/yiwbax2ufv [re oposisicerdas]"
TXT0015,"masyaallah, gegap gempita para santriwan-santriwati saat menyambut kehadiran ganjar ke ponpes an nawawi berjan, purworejo (31/12/2023). selain semarak dari barisan santri, dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa. aamiin. [re aan_muba]"
TXT0016,"sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowo.anies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negara.(di sini anies bermaksud menyerang etika jokowi soal pencawapresan gibran.juga terkait adanya kader gerindra yg menjadi rekanan kemhan, mereka ialah glenny kairupan, yudi magio yusuf, prasetyo hadi & angga raka prabowo komisaris dari pt tmi.)prabowo menjawab ãƒâ¢ã‚â‚¬ã‚å“jangan menghasut dan menyesatkan rakyat demi ambisi pribadi, begitu prof anies baswedan. prabowo berpendapat anies tak layak bicara etika.untuk ganjar, prabowo menjelaskan kelayakan alutsista yg ia beli masih layak 15 tahun pakai, ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahun-tahun. menurut prabowo setelah dibeli baru bisa digunakan 3 tahun selanjutnya. [re mazzini_gsp]"
TXT0017,'@anak__ogi @ganjarpranowo @mohmahfudmd setuju... jgn sampai pajak dinaikkan 23 % bisa amblas keuangan generasi z... dukung yg nyata saja.. ganjar-mahfud lah pilihannyaganjar-mahfud lah jawabannya.. #ganjarmahfud2024 #ganjarmahfudsatset #ganjarpresiden #ganjarsikatkorupsi #ganjaruntuksemua
TXT0018,"dengan ganjar-mahfud, kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan. @syngnyjim happy new year #ganjarmahfud2024#3mandatganjarmahfud#l3bihbaik https://t.co/omyaqxbi24"
TXT0019,"kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat, di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda, berdampak pada kohesi sosial antar kelompok usia dalam populasi."
TXT0020,"anies mengatakan, bansos berasal dari uang pajak rakyat. bukan berasal dari pribadi seseorang untuk kepentingan masyarakat. https://t.co/ky45mvrc9p [re kumparan]"
TXT0021,"upaya pemberantasan korupsi, anies ingin kembalikan kekuatan kpk lewat revisi uu https://t.co/yumm6xpei5 #tempovideo [re tempodotco]"
TXT0022,ãƒâ¢ã‚ëœã‚ëœ  ãƒâ€šã‚â taufikdamasãƒâ€šã‚â  netizengan/staãƒâ¢ã‚â‚¬ã‚â¦ qtãƒâ€šã‚â  netizengan:ãƒâ€šã‚â  kakekhalalãƒâ€šã‚â  antikorupsi setya novanto sebut ganjar pranowo terima duit e-ktp us$ 500 ribuãƒâ€šã‚â  gqpjrpvqw9ãƒâ€šã‚â  ganjar mahfud hebat #l3bihbaik #mahfudlebihbaik3 #ganjarmahfud2024 nelayanãƒâ€šã‚â sejahtera
