label,text
demografi,'@9uae+rjsv4b77hhslo21blbdl/mv/ltazrfhsq9zdnm= @o7uytnzov5t3vufogwrnxxqmg41nxrwx45trw82cple= gibran ini orgny sengaja cari musuh. gk yakin dia bisa merangkul org bnyk . yg notabene org indo ini dr berbagai suku . yg ada orang aceh dan papua akan beranggapa
demografi,'@cdttrpr2qj41val1lhwdlo9rekqxecjby+mb3sscu3a= sebagai kalangan perempuan muda bangga rasanya bisa bersama berjuang bersama pasangan ganjar mahfud. tetaplah semangat mewujudkan indonesia unggul menuju indonesia emas
demografi,"'@ciqxqwgat04tmtx4ocatxjovq7vv/y8heyaiogmfg8y= emng bener sih, pendukung 01 ada yg goblok, begitu jg dg pendukung 02.. hnya sj menurut pak ridwan kamil skemanya terbalik, klo 01 mayoritas pendidikan menengah atas (artinya ada jg pendidikan rendah yg milih"
demografi,"'@dbk/rb+3is/+u4nxout0swx3lkm7dijbm0pq+xmfqj0= membludak, alhamdulillah generasi muda merindukan gagasan cerdas, saya tidak kawatir lagi dg bujukan 02, tidak mempan krn sudah ikut arahan pak anies."
demografi,'@gq+qgmyj209n7py+h3gryakqiic4nlekltoiiualnza= @gqal2hicdwkr2u/vfuq3r0tfxxxtxcskyuxakn9r5o0= iya nih penting suara batak sebagai populasi etnis ketiga terbesar setelah jawa sunda. mayoritas batak kristen cukup anti sama anies karena diframing radikal sejak
demografi,"'@jc8wgvfziiym5numgxoyga98pxtxpsjwfkdd6ksh4cs= setuju sekali, cara masbowogbran pilihankita membangun generasi emas bisa menyiapkan anak muda berkualitas agar bangsa jadi makmur. @pxwd1jkx1ptc0ex7biyoliqg37/y/qc/fku3ucfcatq= @hwc3edacbqzmfdk+a2qucamvcclzib"
demografi,'@lkoehno1qm0yeaifp1i2trtdmi416yz0w1dfhoekqxw= @tlhunaskvb7rvyxx/pu1rzvtuximxby5kgaogt9f9kq= kok gak ngakoni ae pancen prabowo unggul d kalangan pasar... anies itu levelnya orang berpendidikan... gitu aja
demografi,'@nbik5lvvdcuoam9mjeefzcltr/s4p1utivcrwwdllba= bayangin populasi jawa mendadak mbludak karena anak pak anies ga pake kerudung
demografi,"'@oitj0snkgiyhknlw+fq1+hjn9k/5ublqpkdnx85b91y= @c62/h8+g+avmndycwxowcuzo+uzugmu6f6lhqac8qhu= @afdujps/uwdu2ir51dvjcpkav3m/wigxdhn3nogc7le= totalitas. menangkan 02 utk masa depan kaum muda. bersama demokrat, ""berdiri sama tinggi dan duduk sama rendah"" terwu"
demografi,'@vy9f/b+utyrm5hm1uljdlbdxwgqrwtcbybmsg5idi7o= @teriizd5hgscp6wzjcfll9smpvhr9chgumdveht5kh8= @3leelfhbvvgwrsejzmxckbpbpiencveepvpmuvaf3c0= anies memperhatikan isu-isu sosial yang dihadapi oleh gen z.
